fix,lat,lon
10053,45.097939,-118.094022
10055,45.002794,-074.092392
10056,45.000028,-073.617000
10057,45.000039,-073.237600
10058,45.000044,-072.123681
10059,43.016242,-073.215275
10061,47.366714,-067.296675
10063,45.423011,-067.545472
10064,45.337986,-067.449747
10065,44.955578,-067.023867
10066,42.402847,-070.850878
10067,45.842389,-115.000000
10068,48.380567,-123.162319
10069,44.968364,-123.577497
10070,41.333417,-122.900614
10071,41.333639,-122.580944
10072,46.067281,-121.777608
10073,45.746283,-121.656769
10074,45.622367,-121.610489
10076,45.022725,-121.389506
10077,41.084439,-121.542039
10078,41.002811,-120.069128
10079,47.420961,-118.053986
10080,47.181533,-118.749078
10081,45.719658,-118.974442
10082,45.699853,-118.988358
10083,45.287336,-119.275708
10084,45.077356,-118.123800
10086,44.373044,-118.782278
10087,47.428744,-117.729961
10088,47.432139,-117.575842
10089,47.135408,-117.949917
10090,47.103750,-117.450744
10091,45.787625,-116.965039
10093,45.340683,-116.805481
10094,47.952028,-115.000000
10095,47.429167,-115.000000
10096,46.915944,-115.000000
10099,38.112222,-120.792389
10100,38.047475,-121.100719
10101,37.959194,-121.001111
10103,37.851981,-120.880711
10105,36.725842,-121.122725
10107,35.742628,-120.078333
10108,35.586747,-120.671864
10109,40.741483,-118.970506
10110,40.274158,-118.033689
10112,36.684467,-118.584261
10113,36.113167,-119.180222
10114,35.913842,-119.314500
10115,39.068694,-117.319278
10117,38.048861,-117.236944
10118,37.289983,-117.159017
10120,44.928683,-116.660647
10121,44.844686,-116.631400
10122,44.544078,-114.787111
10123,44.255378,-115.203792
10124,40.678592,-114.920289
10125,46.587878,-111.868292
10126,42.689444,-112.108167
10127,42.320447,-112.082239
10129,40.146019,-109.156008
10130,41.708056,-113.275472
10131,41.426583,-112.844806
10132,41.472492,-112.023806
10133,39.134153,-112.104156
10134,39.466594,-112.057017
10135,39.383844,-112.068794
10136,38.738492,-112.806394
10137,38.937489,-112.131819
10138,38.509558,-112.191478
10141,37.659722,-113.576100
10142,37.500750,-112.315417
10143,47.217450,-111.536747
10144,47.167933,-110.912392
10145,42.495556,-111.537000
10146,40.741892,-110.119917
10147,40.205897,-110.796575
10148,40.232203,-110.844078
10149,40.228842,-110.767944
10150,39.962444,-111.098806
10151,39.720464,-109.932422
10152,40.366778,-109.138111
10154,39.619778,-110.202583
10155,39.785075,-109.757303
10156,39.477467,-110.208875
10157,38.878972,-109.984014
10158,40.670739,-109.114872
1015N,10.000000,-015.000000
10160,45.021153,-106.064019
10161,44.023214,-107.053394
10162,43.993686,-107.028364
10163,43.765986,-107.264875
10165,41.671333,-107.927167
10167,45.862147,-112.240417
10168,39.169800,-111.321897
10169,39.118333,-109.983333
10186,37.481328,-110.230517
10187,36.007728,-109.308933
10188,36.035389,-109.738444
10189,37.196692,-109.384475
10190,37.739575,-108.390947
10191,37.972686,-108.460781
10193,39.356000,-109.298758
10198,40.588278,-108.081528
10200,40.435342,-106.288303
10201,37.500181,-104.647456
10202,37.692178,-104.595172
10203,37.837592,-104.060267
10205,37.611611,-106.102278
1020N,10.000000,-020.000000
10211,41.826139,-105.253639
10212,44.482539,-104.447981
10213,44.235594,-103.738558
10216,38.494583,-103.616889
10217,37.594456,-103.865928
10220,38.150839,-102.868392
10221,38.121175,-102.571719
10224,37.755583,-111.069694
10225,37.077806,-111.745056
10226,36.109389,-111.667667
10227,36.028931,-111.710372
10228,35.711722,-110.456778
10229,35.802564,-109.636661
10230,35.963094,-108.661389
10231,36.160028,-107.648778
10232,36.366222,-107.028278
10233,36.710972,-106.098944
10234,36.768725,-104.844106
10235,37.192750,-103.536083
10236,37.796511,-102.011986
10237,37.775844,-102.049792
10238,38.018847,-101.602364
10239,38.516017,-100.667394
10241,39.596147,-098.864689
10242,40.241694,-099.053139
10243,40.684706,-099.044503
10244,41.139369,-099.035114
10245,41.346675,-099.030811
10247,42.358028,-099.312636
10248,42.403306,-099.350303
10249,42.855556,-099.730169
10250,43.925433,-101.424944
10251,39.108383,-109.763239
10254,35.486628,-119.629956
1025N,10.000000,-025.000000
10262,34.323364,-117.042333
10263,33.944644,-115.833131
10264,33.526781,-114.000769
10265,32.775572,-114.000764
10268,36.083925,-112.400344
10269,35.877986,-112.412425
10271,35.402475,-112.417867
10272,35.400808,-112.440203
10273,35.113453,-113.220006
